"NO.","Material No.","Item and Spec","Units","Remark"
"32","1040202855","Nut M8-8","8","GB/T889.1-2000"
"33","00775802800001410","Oil filling filter bracket","1",""
"34","1020521277","Main power switch","1",""
"35","1040101846","Screw M4×10-8.8","2","GB/T70.1-2000"
"36","1029906635","LED flash light","1",""
"37","1029906206","Protective cover","1",""
"38","1101000162","Hinge","4",""
"39","1040001640","Bolt M6×25-8.8","25","GB/T5783-2000"
"40","1040104104","Screw M6×20-8.8","8","GB/T818-2000"
"41","1101000131","Panel lock","2",""
"42","00775802802600000","Right tank cover Ⅱ","1",""
"43","00775802803200000","Exit pipe - bracket","1",""
"44","1040006017","Screw M6×25-8.8","4","GB/T70.1-2000"
"45","00775802800001190","Exit pipe - upper fixing plate","1",""
"46","00775802808220000","Engine bracket weldment (18.5kw 
Kubota）","1",""
"47","1040001715","Bolt M6×45-8.8","2","GB/T5783-2000"
"48","00775802800001350","Door buffer ring","2",""
"49","00775802813100000","Right ladder","1",""
"50","1040301031","Washer 12-300HV","2","GB/T96.1-2002"
"51","1040301503","Washer 12","2","GB/T93-1987"
"52","1040004029","Bolt M12×35-10.9","2","GB/T5783-2000"
"53","1040301023","Washer 16-300HV","1","GB/T96.1-2002"
"54","1040301505","Washer 16","1","GB/T93-1987"
"55","1040006550","Bolt M16×40-10.9","1","GB/T5783-2000"
"56","1040302490","Washer 12-200HV","8","GB/T97.1-2002"
"57","1040301503","Washer 12","8","GB/T93-1987"
"58","1040004028","Bolt M12×25-10.9","8","GB/T5783-2000"
"59","00775802808210000","Right tank frame","1",""
"60","00775802802400000","Right tank cover Ⅰ","1",""
