"NO.","Material No.","Item and Spec","Units","Remark"
"32","1040303579","Washer 6-300HV","2","GB/T96.1-2002"
"33","00775802800001180","Battery fixing rod","2",""
"34","00775802800001170","Battery fixing bracket","2",""
"35","1040101643","Screw M6×30-8.8","4","GB/T70.1-2000"
"36","1040101846","Screw M4×10-8.8","2","GB/T70.1-2000"
"37","1029906635","LED flash light","1",""
"38","1029906206","Protective cover","1",""
"39","1040004519","Bolt M8×25-8.8","4","GB/T5783-2016"
"40","00775802800001410","Oil filling filter bracket","1",""
"41","1020521277","Main power switch","1",""
"42","1040104104","Screw M6×20-8.8","8","GB/T818-2000"
"43","1101000131","Panel lock","2",""
"44","00775802816600000","Right tank cover Ⅱ","1",""
"45","1101000162","Hinge","4",""
"46","1040001640","Bolt M6×25-8.8","25","GB/T5783-2000"
"47","00775802807410000","Right tank frame","1",""
"48","1040302490","Washer 12-200HV","8","GB/T97.1-2002"
"49","1040301503","Washer 12","8","GB/T93-1987"
"50","1040004028","Bolt M12×25-10.9","8","GB/T5783-2000"
"51","00775802800001190","Exit pipe - upper fixing plate","1",""
"52","1040006017","Screw M6×25-8.8","4","GB/T70.1-2000"
"53","00775802803200000","Exit pipe - bracket","1",""
"54","1040007537","Bolt M6×50-8.8","1","GB/T5782-2000"
"55","00775802816900000","Block base","1",""
"56","1040103333","Screw M6×12-8.8","1","GB/T70.3-2000"
"57","00775800100001150","Block","1",""
"58","00775802816200000","Engine bracket weldment 
(Weichai)","1",""
