"No.","Material No.","Item and Spec","Unit","Note"
"1","1029903316","sheath","1","Turntable electric 
control box"
"","1029902632","Terminal","44",""
"2","1029902635","sheath","1","Turntable electric 
control box"
"","1029902630","Terminal","2",""
"3","1020703394","Limit switch- tower boom 
stowed 1","1","Boom Electric 
Cables"
"4","1020703394","Limit switch- tower boom 
stowed 2","",""
"5","1020304982","Alarm buzzer","",""
"6","1020700951","/","1","Reversing valve 1-
Jib rotary"
"7","1020700951","/","1","Turntable right-turn 
valve"
"8","1020700951","/","1","Reversing valve 2- 
expanding and 
leveling"
"9","1020703394","","1","Lift switch-tower 
boom lifting"
"10","1020404399","","","Work alarm light"
"11","1020700951","/","1","Reversing valve 1-
Jib rotary"
"12","1020700951","/","1","Turntable left-turn 
valve"
"13","1020700951","/","1","Reversing valve 1-
expanding and 
leveling"
"14","1020700951","/","1","Lifting valve-main 
boom"
"15","1020700951","/","1","Lifting valve-tower 
boom"
"16","1020700951","","1","Work light"
"17","1020703391","sheath","1","Plug-in slip ring 1"
"","1020700957","sheath","1","Plug-in"
"","1020700440","sheath","1","Plug-in slip ring 2"
"","1020700942","sheath","1","Plug-in"
"18","1020516032","Limit switch (outside)- steering 
angle","1",""
"19","1020516032","Limit switch (inside)- steering 
angle","1",""
