"NO.","Material No.","Item and Spec","Qty","Remark"
"29","00773400300001210","Bearing","4",""
"30","00773400310001130","Pin","1",""
"31","00773400200001010","Bearing","10",""
"32","00773400310001090","Bushing IV","1",""
"33","00773400310001100","Bushing V","1",""
"34","00773400310600000","Leveling cylinder","1",""
"35","00773400310001080","Bushing III","1",""
"36","00773400310800000","Lifting cylinder","1",""
"37","00773400310001140","Pin","1",""
"38","00773400310001070","Bushing II","1",""
"39","00773400310001010","Pin","1",""
"40","00773400310001060","Bushing I","1",""
"41","00773400311400000","Leveling cylinder","1",""
"42","00773400300001050","Bearing","2",""
"43","00773400300001060","Bushing","1",""
