"No.","Material No.","Item and Spec","Unit","Note"
"1","1022270089","Plug connector","1","Turntable electric 
control box"
"2","1020700951","Speed control valve- tower boom 
lowering","1",""
"3","1020700951","Telescopic leveling selection 
valve","1",""
"4","1020700951","Speed control valve- main boom 
lowering","1",""
"5","1020700540","Terminal resistance","1",""
"6","1020516032","Boom length limit switch 1","1",""
"7","1020516032","Boom length limit switch 2","1",""
"8","1021404019","Boom angle sensor","1",""
"9","1020706505","Plug connector","1","Chain cables"
