"No.","Material No.","Item and Spec","Unit","Note"
"1","1021404018","12V socket","1",""
"2","1020700957","B﹢","1",""
"3","1020702062","Li-ion battery communication","1",""
"4","1020703391","sheath","1","Plug-in slip ring 1"
"","1020700957","sheath","1","Plug-in"
"5","1020700440","sheath","1","Plug-in slip ring 2"
"","1020700942","sheath","1","Plug-in"
"6","1029900318","sheath","1","Left-turn valve"
"7","1029900318","sheath","1","Right-turn valve"
"8","1020700951","sheath","1","Charger"
"9","1020700953","sheath","1","Charger 
communication"
"10","/","Bare wire insulation treatment","1","/"
"11","1020700957","sheath","1","48V socket"
"12","1021404019","sheath","1","Frame angle 
sensor"
"13","1020103232","sheath","1","Break"
"14","1020700440","sheath","1","Negative or 
positive of power 
source"
"15","/","OT Terminal","1","Auxiliary pump 
relay"
"16","/","Fuse","4","Fuse"
"17","1022259178","sheath","1","Battery diagnosis"
"18","1029900385","sheath","1","Steering angle 
sensor"
