"Item","Part Number","Description","Qty.","Remark"
"--","00000679","Spring Washer  GB/T 93  10","4",""
"--","00000683","Bolt  GB/T 5783  M10 × 30","4",""
"73","90010542","Flange Fitting, 90°","1",""
"--","00000621","Spring Washer  GB/T 93  6","4",""
"--","00000774","Screw  GB/T 70  M6 × 20","2",""
"--","00001042","Screw  GB/T 70  M6 × 30","2",""
"74","00006486","Fitting, 45°","1",""
"75","00003963","Fitting, Straight","2",""
"76","00001842","Fitting, 90°","1",""
"77","00001238","Fitting, Tee","2",""
"78","00006503","Test Adapter","1",""
"79","92048856","Hose Assembly","1",""
"80","92048973","Hose Assembly","1",""
"81","92030383","Hose Assembly","1",""
