"Item","Part Number","Description","Qty.","Remark"
"1","92048636","Telescopic JIB Second Boom","1",""
"2","92048725","Shim","8",""
"3","92048723","Shim","4",""
"4","","JIB Telescopic Cylinder Assembly (Refer 
to 5-8)","1",""
"5","00009729","895-25212 Pin, Pivot","1",""
"6","00000220","8902-10080 Pin, Lock","1",""
"7","00000683","Bolt  GB/T 5783  M10 × 30","1",""
"8","00000679","Spring Washer  GB/T 93  10","1",""
"9","00000615","Flat Washer  GB/T 97.1  10","1",""
"10","00000992","Washer  GB/T 894.1-25","2",""
"11","92048770","Pin, Pivot","1",""
