"Item","Part Number","Description","Qty.","Remark"
"1","00009998","Ground Control Box Harness","1",""
"2","00009747","CT1 Harness","1",""
"3","00009758","CT2 Harness","1",""
"4","00009759","CT3 Harness","1",""
"5","00009766","CT4 Harness","1",""
"6","00006923","Battery Harness","1",""
"7","00004789","Battery Negative Harness","1",""
"8","00004787","Battery Positive Harness","1",""
"9","00004788","Fuse Harness","1",""
"10","00004790","Contactor Harness","1",""
"11","00004791","Drive Controller Power Harness1","1",""
"12","00004792","Drive Controller Power Harness 2","1",""
"13","00004795","Drive Motor Harness 1","1",""
"14","00005170","Drive Motor Harness 2","1",""
"15","00004794","Pump Motor Negative Harness","1",""
"16","00004793","Pump Motor Positive Harness","1",""
"17","00005469","Pump Motor Connect Harness","1",""
"18","00009761","Drive Controller Harness","1",""
"19","00009762","Steer Valve Harness","1",""
"20","00008066","Boom harness 1","1",""
"21","00009765","Boom harness 2","1",""
"22","00009764","Platform Harness","1",""
"23","00009763","Platform Control Box Harness","1",""
