"Item","Part Number","Description","Qty.","Remark"
"1","00004342","Plug","4",""
"2","00004453","Body","1",""
"3","00003681","Flow Control Valve","1",""
"4","00007613","Manual Pump","1",""
"5","00004460","Orifice Plug","1",""
"6","00004457","Shuttle Valve","1",""
"7","00004451","Handle","1",""
"8","00004459","Cartridge, Relief Valve","1",""
"9","00004437","Cartridge, Relief Valve","1",""
"10","00001073","Plug","1",""
"11","00003352","Nut","5",""
"12","00004322","Coil","8",""
"13","00003301","Cartridge Without Coil","2",""
"14","00004455","Flow Control Valve","2",""
"15","00004458","Cartridge, Relief Valve","1",""
"16","00003682","Cartridge, Valve (Counterbalance)","2",""
"17","00004343","Plug","1",""
"18","00003353","Nut","2",""
"19","00004323","Coil","4",""
"20","00004452","Cartridge Without Coil","2",""
"21","00003685","Nut","1",""
"22","00004002","Coil","1",""
"23","00003676","Proportional Valve","1",""
"24","00003678","Cartridge Without Coil","3",""
"25","00004454","Manual Valve","1",""
