"Item","Part Number","Description","Qty.","Remark"
"1","50000741","Crank Arm 2","1","BA16NE"
"","50001061","Crank Arm 2","1","BA18NE"
"2","00000428","8813-506060 Sleeve Bearing","4",""
"3","50000744","Sleeve, Vitta","1","BA16NE"
"","50001062","Sleeve, Vitta","1","BA18NE"
"4","50000752","Cage, Connection","1",""
"5","00000131","895-50301 Pin, Pivot","3",""
"6","00003089","8902-16095B Pin, Lock","4",""
"7","00001041","Bolt  GB/T 5783  M10 × 40","4",""
"8","00000679","Spring Washer  GB/T 93  10","5",""
"9","00000615","Flat Washer  GB/T 97.1  10","6",""
"10","00002033","Bolt  GB/T 5782  M10 × 200","1",""
"11","50000709","Wheel, Nylon","3",""
"12","00000623","Nut  GB/T 6182  M10","1",""
"13","","Mid Lifting Cylinder Assembly (Refer to 
5-3)","1",""
"14","00000126","895-50181 Pin, Pivot","1",""
