"Item","Part Number","Description","Qty.","Remark"
"1","00001165","Screw  GB/T 70  M6 × 45","2",""
"2","00007021","Clamp","1",""
"3","00005254","Ground Strap","1",""
"4","00000818","Bolt  GB/T 5783  M6 × 16","1",""
"5","00000621","Spring Washer  GB/T 93  6","11",""
"6","00000620","Flat Washer  GB/T 97.1  6","3",""
"7","50000977","Bracket","1",""
"8","00000757","Seat, Fuse","2",""
"9","00000758","350A Fuse","1",""
"10","00001232","Screw  GB/T 818  M4 × 16 - H","4",""
"11","50000099","Copper Bar 3","1",""
"12","00002029","Screw  GB/T 70  M6 × 12","2",""
"13","00002221","Contactor","1",""
"14","00002050","Screw  GB/T 70  M10 × 40","4",""
"15","00000679","Spring Washer  GB/T 93  10","4",""
"16","00001028","Flat Washer  GB/T 96.1  10","4",""
"17","00001034","Screw  GB/T 70  M6 × 25","8",""
"18","00000641","Motor Controller","2",""
