"Item","Part Number","Description","Qty.","Remark"
"1","00002488","Bolt  GB/T 5783  M8 × 35","4",""
"2","00000609","Spring Washer  GB/T 93  8","8",""
"3","00000608","Flat Washer  GB/T 97.1  8","12",""
"4","00006965","Slew Drive Assembly (Refer to 1-7)","1",""
"5","00001304","Electrical Motor","1",""
"6","00002054","Bolt  GB/T 5789  M16 × 130","18",""
"7","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"8","00001163","Nut  GB/T 6182  M8","4",""
"9","50000972","Bracket","1",""
"10","00000683","Bolt  GB/T 5783  M10 × 30","2",""
"11","00000679","Spring Washer  GB/T 93  10","2",""
"12","00000615","Flat Washer  GB/T 97.1  10","2",""
"13","00000529","Gear pump","1",""
