"Item","Part No.","Description","Qty."
"18","00000609","Washer  GB/T 93  8","2"
"19","00000608","Washer  GB/T 97.1  8","2"
"20","10000538","Threaded rod (JCPT0808HD/DC, JCPT1008HD/DC, 
JCPT1012HD/DC, JCPT1212HD/DC)","1"
"","10000793","Threaded rod (JCPT1412HD/DC, JCPT1612HD/DC, 
JCPT1614HD/DC)","1"
"21","10000481","Latch (left)","1"
"22","00002866","Bolt  QC/T 340  M6×20","2"
"23","10000540","Handle hole ring","1"
"24","00000607","Screw  GB/T 818  M5×12 - H","2"
"25","00000606","Washer  GB/T 93  5","2"
"26","00000605","Washer  GB/T 97.1  5","2"
"27","00000612","Screw  GB/T 818  M5×20 - H","4"
