"Item","Part No.","Description","Qty."
"1","00002884","Bolt  GB/T 16674  M10×100","2"
"2","10000252","Platform slider","4"
"3","00002572","Nut  GB/T 6183.1  M10","17"
"4","00000439","8813-38.1×44.45×50.8  Bearing","6"
"5","10000293","Outer arm 5 (JCPT1412HD/DC)","1"
"","10000767","Outer arm 6 (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"6","10000739","Inner arm 4 (JCPT1412HD/DC)","1"
"","10000769","Inner arm 6 (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"7","00002891","Bolt  GB/T 16674  M10×110","2"
"8","00001027","Bolt  GB/T 5782  M10×80","22"
"9","00000623","Nut  GB/T 6182  M10","22"
"10","00000568","898-38.1×638.5  Pin","12"
"11","00000565","898-38.1×198.5  Pin","4"
"12","10000256","Spacer sleeve","4"
"13","00000822","Screw  GB/T 70.3  M5×16","7"
"14","10000258","Collar","7"
"15","00000595","895-38.1×220  Pin","3"
"16","10000282","Inner arm 2 (JCPT1412HD/DC)","1"
"","10000755","Inner arm 2 (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"17","10000255","Chassis slider","2"
"18","00002096","896B-38.1×25A  Pin (JCPT1412HD/DC, 
JCPT1612HD/DC)","2"
"","00002097","896B-38.1×25B  Pin (JCPT1614HD/DC)","2"
"19","10000425","Hydraulic hoses manifolds","1"
"20","10001171","Hose (JCPT1412HD/DC)","1"
"","10001172","Hose (JCPT1612HD/DC, JCPT1614HD/DC)","1"
"21","10000402","Hose (JCPT1412HD/DC)","1"
"","10000084","Hose (JCPT1612HD/DC, JCPT1614HD/DC)","1"
