"Item","Part No.","Description","Qty."
"1","00002641","Bolt  GB/T 16674  M12×130 (JCPT0808HD/DC-CE)","4"
"","00002882","Bolt  GB/T 16674  M12×90 (JCPT1212HD-CE)","4"
"","00002882","Bolt  GB/T 16674  M12×90 (JCPT1212HD-ANSI, 
JCPT1212DC-CE)","2"
"2","10000011","Counterweight 18 (JCPT0808HD/DC-CE)","4"
"","10000489","Counterweight 35 (JCPT1212HD-CE)","2"
"","10000489","Counterweight 35 (JCPT1212HD-ANSI, JCPT1212DC-CE)","1"
"3","00001257","Nut  GB/T 6182  M16 (JCPT1012HD/DC-CE, 
JCPT1212HD/DC-CE, JCPT1412HD/DC-CE&ANSI)","2"
"4","00000997","Washer  GB/T 97.1  16 (JCPT1012HD/DC-CE, 
JCPT1212HD/DC-CE, JCPT1412HD/DC-CE&ANSI)","4"
"5","00002576","Nut  GB/T 6183.1  M12 (JCPT0808HD/DC-CE, 
JCPT1212HD-CE)","4"
"","00002576","Nut  GB/T 6183.1  M12 (JCPT1212HD-ANSI, 
JCPT1212DC-CE)","2"
"6","10001860","Frame weldment (JCPT0808HD/DC, JCPT1008HD/DC)","1"
"","10001992","Frame weldment (JCPT1012HD/DC, JCPT1212HD/DC)","1"
"","10001834","Frame weldment (JCPT1412HD/DC)","1"
"","10001993","Frame weldment (JCPT1612HD/DC)","1"
"","10000983","Frame weldment (JCPT1614HD/DC)","1"
"7","10000483","Counterweight 400 (JCPT1012HD/DC-CE, 
JCPT1212HD/DC-CE, JCPT1412HD/DC-ANSI)","1"
"","10000777","Counterweight 180 (JCPT1412HD/DC-CE)","1"
"8","00001256","Bolt  GB/T 5782  M16×220 (JCPT1012HD/DC-CE, 
JCPT1212HD/DC-CE, JCPT1412HD/DC-CE&ANSI)","2"
"9","00001027","Bolt  GB/T 5782  M10×80 (JCPT0808HD/DC-CE)","2"
"10","00000679","Washer  GB/T 93  10 (JCPT0808HD/DC-CE)","2"
"11","00000615","Washer  GB/T 97.1  10 (JCPT0808HD/DC-CE)","2"
"12","10000061","Counterweight 28 (JCPT0808HD/DC-CE)","1"
