"序号","物料编码","名称及规格","件数","备注"
"35","00773700300001100","伸缩油缸支撑板","1",""
"36","1040004520","螺栓 M8×30-8.8","2","GB/T5783"
"37","00773700301400000","上防尘刷","1",""
"38","1040300771","垫圈 6-200HV","39","GB/T97.1"
"39","1040001640","螺栓 M6×25-A2-70","8","GB/T5783"
"40","00773700301800000","侧防尘刷","2",""
"41","00773700301600000","下防尘刷","1",""
"42","1040201896","螺母 M6-8","8","GB/T889.1"
"43","00773700300200004","基本臂","1",""
"44","00773400300001070","轴承","6",""
"45","00773700300600000","一号臂变幅油缸","1",""
"46","1040002446","螺栓 M16×40-8.8","1","GB/T5783"
"47","00773400400001250","止动销","1",""
"48","00773700300001030","销轴 III","1",""
"49","1040004553","螺栓 M6×35-8.8","4","GB/5783"
"50","1040300735","垫圈  6-200HV","8","GB/T96.1"
"51","00773700300001190","线管盖板","2",""
"52","1040103133","螺钉 M6×30-A2-70","8","GB/T70.3"
"53","00773700300001140","管线压板","2",""
"54","00773700300001240","胶管座","2",""
"55","1040005844","螺栓 M6×10-A2-70","20","GB/T5783"
"56","1040300771","垫圈 6-200HV","39","GB/T97.1"
"57","00773700300001210","主臂封板","5",""
"58","1040002738","螺栓 M6×12-A2-70","4","GB/T5783"
"59","00773700302400001","防护罩","1",""
"60","1040102778","螺钉 M6×10-8.8","3","GB/T70.1"
"61","1040002437","螺栓  M12×35-8.8","2","GB/T5783"
"62","00773400200001070","止动销","2",""
"63","00773700300001010","销轴 I","1",""
"64","00773700300800000","下调平油缸","1",""
