"序号","物料编码","名称及规格","件数","备注"
"1","1020201651","显示屏","1",""
"2","1020520084","扳钮开关","1","平台旋转"
"3","1020520084","扳钮开关","1","平台调平"
"4","1020520084","扳钮开关","1","飞臂升降"
"5","1020520084","扳钮开关","1","臂架伸缩"
"6","1020520084","扳钮开关","1","臂架升降"
"7","1020519658","急停按钮","1","急停开关"
"","1020509007","按钮座","1",""
"8","1020520084","扳钮开关","1","塔臂升降"
"9","1020520943","钥匙开关","1",""
"10","1020520084","扳钮开关","1","转台旋转"
"11","1020520084","扳钮开关","1","应急动力及使能"
"12","1020304559","继电器","1","照明灯继电器"
"13","1020304559","继电器","1","停车阀继电器"
"14","1020604934","接线端子","11",""
"15","1020704265","接地端子排","3",""
"16","1020705826","二极管端子","2",""
"17","1029904980","接线端子","9",""
"18","1029903317","48 芯护套","1","转台电缆束"
"19","1029902634","32 芯护套","1","转台电缆束"
"20","1029902634","32 芯护套","1","大臂电缆束"
"21","1020304584","功率继电器","1","系统电源"
"22","1020304584","功率继电器","1","启动马达"
"23","1020304584","功率继电器","1","散热器"
"24","1020304584","功率继电器","1","燃油泵"
"25","1020103903","控制器","1",""
"26","1020103955","连接器组件","1",""
