"序号","物料编码","名称及规格","件数","备注"
"1","/","转台电控箱 1","/",""
"2","/","转台电控箱 2","/",""
"3","1020202125","电磁卸荷阀","1",""
"4","/","主臂收回阀","/",""
"5","/","转台右转阀","/",""
"6","/","前轮右转阀","/",""
"7","/","平台动作主控阀 1 上升","/",""
"8","/","燃油油位","/",""
"9","/","塔臂举升阀","/",""
"10","/","转台左转阀","/",""
"11","/","前轮左转阀","/",""
"12","/","平台动作主控阀 2 下降","/",""
"13","/","主臂上升阀","/",""
"14","/","主臂伸出阀","/",""
"15","/","塔臂收藏位置限位开关 2","/",""
"16","/","散热器","/",""
"17","/","浮动控制阀","/",""
"18","/","双速阀","/",""
"19","/","刹车阀","/",""
"20","/","车身倾角传感器","/",""
"21","/","转角限位开关","/",""
"22","1021404019","报警蜂鸣器","",""
"23","1020516032","燃油泵","1",""
"24","00773606200420000","油水分离器","1",""
"25","1020404399","塔臂收藏位置限位开关 1","1",""
"26","/","工作警示灯","/",""
"27","/","塔臂上极限限位开关","/",""
"28","/","蓄电池正","/",""
"29","/","搭铁","/",""
"30","1020304982","调平选择阀","1",""
"","","辅助动力泵继电器","",""
"","","道路照明灯","",""
"","","ECU 电缆束","",""
