"序号","物料编码","名称及规格","件数","备注"
"1","1040004648","螺栓 M16×90-10.9","20","GB/T1228"
"2","1040300186","垫圈","40","GB/T1230"
"3","1030202348","回转减速机","1",""
"4","1040005840","螺栓 M16×100-10.9","20","GB/T1228"
