"序号","物料编码","名称及规格","件数","备注"
"1","1010400309","散热器","1",""
"2","1140101464","端直通接头","2",""
"3","1140101478","直角组合接头","1",""
"4","1040301515","垫圈 8","4","GB/T97.1"
"5","1040004517","螺栓 M8×16-8.8","4","GB/T5783"
