"序号","物料编码","名称及规格","件数","备注"
"32","00773400130401040","垫块 I","8",""
"33","1040006458","加 强 半 圆 头 方 径 螺 栓 
M12×50-8.8","1",""
"34","1040201381","螺母  M12-8","1","GB/T6170-2000"
"35","1040001703","螺栓  M12×65-10.9","2","GB/T5782-2000"
"36","1040302490","垫圈  12-200HV","4","GB/T97.1-2002"
"37","1040201163","螺母 M 12-10","2","GB/T889.1-2000"
"38","00773400100401040","垫块","1",""
"39","1040103112","螺钉  M8×25-8.8","7","GB/T70.1-2000"
"40","00773400130401060","垫块 III","2",""
"41","1040004556","螺栓  M12×35-8.8","8","GB/T16674.1-2016"
"42","1040005852","螺栓  M12×20-8.8","2","GB/T5787-2000"
"43","00773400130600000","液压阀架焊件","1",""
"44","00771400120420001","托架焊件","1",""
"45","02564400100401010","连杆","1",""
"46","1040201111","螺母  M24-10","1","GB/T889-1986"
"47","1040301511","垫圈  24-200HV","1","GB/T97.1-2002"
"48","1040004505","螺栓  M24×280-10.9","1","GB/T5782-2000"
"49","00773400100401030","调整垫 Tp1","2",""
"50","00773400130410000","过渡座","1",""
"51","1040006524","螺栓  M10×25-10.9","8",""
"52","1040004522","螺栓  M8×50-8.8","1","GB/T5783-2000"
"53","1040301515","垫圈 8-200HV","9","GB/T97.1-2002"
"54","00775600101801020","弹簧","1",""
"55","00775600101801010","锁芯","1",""
"56","00773400100261080","挡板","2",""
"57","1040102017","螺钉  M6×45-A2-70","6",""
"58","00771400100201050","挡板","1",""
