"序号","物料编码","名称及规格","件数","备注"
"1","00773400312200000","滑块组件","4",""
"2","00773400300001101","调整垫片","4",""
"3","1040302410","垫圈  4-200HV","4","GB/T97.1"
"4","1040004591","螺栓  M4×8-8.8","4","GB/T5783"
"5","1040302489","垫圈  10-200HV","36","GB/T97.1"
"6","00771400340001090","传感器罩板","1",""
"7","00773700303000001","滑块组件","12","GB/T96.1"
"8","00773400300001131","调整垫片 IV","20",""
"9","1040004565","螺栓 M10×30-8.8-DKL","14","GB/T5783"
"10","1040002433","螺栓 M10×20-8.8","16","GB/T5783"
"11","00773700300001020","销轴 II","1",""
"12","00773400300001140","调整垫片 V","4",""
"13","1010306060","伸缩平衡阀","1",""
"14","00773700300001051","伸缩油缸销轴","2",""
"15","1040002434","螺栓 M10×25-8.8","2","GB/T5783"
"16","00773400300001200","止动销","2",""
"17","1040004518","螺栓 M8×20-8.8","4","GB/T5783"
"18","1040301515","垫圈 8-200HV","6","GB/T97.1"
"19","00773700300001181","油缸调整垫片 II","2",""
"20","00773700300001171","油缸调整垫片 I","8",""
"21","00773700302000000","右卡板","1",""
"22","00773700302200000","左卡板","1",""
"23","00773700300991040","行程开关","2",""
"24","00773700300001090","长螺杆 M12×260","2",""
"25","1040302490","垫圈 12-200HV","4","GB/T97.1"
"26","00773700300001080","挡管","2",""
"27","1040201381","螺母 M12-8","2","GB/T6170"
"28","1040103076","螺钉 M8×16-8.8","4","GB/T70.3"
"29","00773700400001290","卡板","2",""
"30","00773700300001040","销轴 IV","1",""
"31","00773400300001210","轴承","8",""
"32","00773700300400004","伸缩臂","1",""
"33","00773700301000000","上调平油缸","1",""
"34","00773700301200000","伸缩油缸","1",""
