"序号","物料编码","名称及规格","件数","备注"
"1","00773407140401130","油门软轴","1",""
"2","1040102372","内六角圆柱头螺钉","10","GB/T70.1"
"3","00773407140401140","油门拉杆","1",""
"4","1040200304","螺母","1","GB/T889"
"5","1040300771","垫圈","9","GB/T97.1"
"6","00773407140401120","弯板 III","1",""
"7","1040004619","螺栓","4","GB/T5783"
"8","1040301515","垫圈","6","GB/T97.1"
"9","00773407140401070","弯板 II","1",""
"10","1040004519","螺栓","2","GB/T5783"
"11","1990202279","涡轮涡杆卡箍","18",""
"12","00773607100401060","燃油管Ⅲ","1",""
"13","00773607100401120","燃油管Ⅵ","1",""
"14","00773607100401080","燃油管Ⅳ","1",""
"15","00773607100401070","燃油管Ⅶ","1",""
"16","00773407140401090","三通接头","1",""
"17","00773607100401030","燃油管Ⅱ","1",""
"18","00773407140401060","燃油管Ⅴ","1",""
"19","00773407100401060","空心螺栓","2",""
"20","1081000673","组合密封垫圈","4",""
"21","00773407100401050","接头 II","2",""
"22","1990200692","涂塑胶条","5",""
"23","1040201896","螺母","2","GB/T889.1"
"24","1000400478","油水分离器","1",""
"25","00773607100401020","燃油管Ⅰ","1",""
"26","1040002434","螺栓","4","GB/T5783"
"27","1040200503","螺母","10","GB/T889.1"
"28","1040302480","垫圈","4","GB/T96.1"
"29","1040302512","垫圈","4","GB/T96.1"
"30","00773607100401040","燃油管Ⅷ","1",""
"31","00773607100401050","燃油管Ⅸ","1",""
"32","00773607100401010","燃油箱总成","1",""
