"序号","物料编码","名称及规格","件数","备注"
"34","00773600801400000","门碰支架 II","1",""
"35","00773400800001180","回转限位销","1",""
"36","00773700800001600","管线托架","1",""
"37","1040302512","垫圈  10-200HV","14","GB/T96.1-2002"
"38","00773600800001080","回转体安装板","1",""
"39","1040100714","螺钉  M12×130-8.8","1","GB/T70.1-2000"
"40","1040302490","垫圈  12-200HV","3","GB/T97.1-2002"
"41","00773600800001100","接头安装板","1",""
"42","1040004511","螺栓  M12×30-8.8","3","GB/T5783-2000"
"43","1040002738","螺栓  M6×12-A2-70","2","GB/T5783-2000"
"44","00773700830400000","管线护罩","1",""
"45","00773700830001020","回转限位支座","1",""
"46","00773700800001021","调整垫板","6",""
"47","00773700800001210","缓冲垫","2",""
"48","1040302480","垫圈  8-200HV","34","GB/T96.1-2002"
"49","1040302489","垫圈  10-200HV","6","GB/T97.1-2002"
"50","1040102741","螺钉  M10×40-8.8","6","GB/T70.1-2000"
"51","1040301515","垫圈  8-200HV","10","GB/T97.1-2002"
"52","00773700830001200","管线托架","1",""
"53","00773700830200000","转台焊件","1",""
"54","00773400800001150","摩擦板","1",""
"55","00773400800001010","轴承","2",""
"56","00773400801400000","托盘插销","1",""
"57","00773600800001060","限位板","1",""
"58","00773400830601020","控制盒护罩","1",""
"59","1040002555","螺栓  M6×16-A2-70","5","GB/T5783-2000"
"60","1040004619","螺栓  M8×35-8.8","2","GB/T5783-2000"
"61","00773400830601010","连接板","1",""
"62","00773600800001090","门碰安装板 I","2",""
"63","00773600800400000","发动机托架","1",""
"64","1040302410","垫圈  4-200HV","7","GB/T97.1-2002"
"65","1040300735","垫圈  6-200HV","5","GB/T96.1-2002"
