"序号","物料编码","名称及规格","件数","备注"
"1","1010002352","行走泵","1",""
"2","1140115078","端直通接头","1",""
"3","1140114946","端直通接头","1",""
"4","1140115370","端直通接头","2",""
"5","1140103362","端直通接头","1",""
"6","1010001908","齿轮泵","1",""
"7","1040004653","螺栓 M12×30-10.9","2","GB/T15783"
"8","1140114045","端直通接头","1",""
"9","1140111770","端直通接头","2",""
"10","1040004029","螺钉 M12×35-10.9","2","GB/T5783"
"11","1040301503","垫圈 12","4","GB/T93"
