"序号","物料编码","名称及规格","件数","备注"
"1","00773400200001020","轴承","2",""
"2","00773700200200000","支座","1",""
"3","00773400200001010","轴承","10",""
"4","00773700200001060","销轴","2",""
"5","1040002433","螺栓 M10×20-8.8","6","GB/T5783"
"6","00773400300001200","止动销","6",""
"7","1040004619","螺栓 M8×35-8.8","4","GB/T5783"
"8","1040301515","垫圈 8-200HV","4","GB/T97.1"
"9","00773700200001082","管线护板","1",""
"10","1040103133","螺钉 M6×30","8","GB/T70.3"
"11","00773700200001100","管线压板","2",""
"12","00773700200001090","管线卡槽","2",""
"13","00773700200400001","上连杆","1",""
"14","00773700200001050","销轴φ35","2",""
"15","00773700200600000","下连杆","2",""
"16","1010201471","摆动缸","1",""
"17","00773700200810000","飞臂油缸","1",""
"18","00773700200001010","轴承","2",""
"19","00773700200001070","销轴","1",""
"20","1040103076","螺钉 M8×16-8.8","4","GB/T70.3"
"21","00773700400001290","卡板","2",""
