"序号","物料编码","名称及规格","件数","备注"
"1","1010001903","应急电机泵","1",""
"2","1040302489","垫圈 10","2","GB/T97.1"
"3","1040004646","螺钉 M10×15-8.","2","GB/T5783"
"4","1040114040","端直通接头","1",""
"5","1040101461","端直通接头","1",""
