"序号","物料编码","名称及规格","件数","备注"
"1","1140101534","直角组合接头","2",""
"2","1140114187","测压接头","1",""
"3","1140101523","端直通接头","2",""
"4","1140101461","端直通接头","1",""
"5","11140101464","端直通接头","8",""
"6","1040301515","垫圈 8-200HV","4","GB/T97.1"
"7","1040004517","螺栓 M8×16-8.8","4","GB/T5783"
"8","1019807528","行走分流阀","1",""
"9","1140101820","端直通接头","1",""
"10","1140101478","直角组合接头","2",""
