"序号","物料编码","名称及规格","件数","备注"
"1","1029905348","蓄电池","1",""
"2","1020605356","环形保险","2",""
"","0067220632181001A-c","环形保险支架","2",""
"","1020402443","绝缘螺母","2",""
"3","00773606200450050","辅助动力泵与保险连线","1",""
"4","00773606200450070","蓄电池正极与预热保险连线","1",""
"5","00773406200450020","蓄电池负极到手动开关连线","1",""
"6","1029900667","手动开关","1",""
"7","00773406200450030","手动开关到搭铁连线","1",""
"8","00773406200450060","发动机与负极搭铁连线","1",""
"9","/","搭铁螺柱","1",""
"10","00773606200450080","启动马达与发电机连线","/",""
"11","1020305006","直流接触器","1",""
"12","00773406200450010","蓄电池与启动马达连线","1",""
"13","00773606200450010","负极搭铁与辅助泵负极连线","1",""
