"序号","物料编码","名称及规格","件数","备注"
"1","1140108904","弯头","2",""
"2","1040114701","端直通加长接头","2",""
"3","1040101464","端直通接头","3",""
"4","1040101461","端直通接头","14",""
"5","1040004653","螺栓 M12×30-10.9","4","GB/T5783"
"6","1140101476","弯头","3",""
"7","1040302821","垫圈 12","4","GB/T96.1"
"8","1011200104","中心回转接头","1",""
"9","1140101523","端直通接头","2",""
