"序号","物料编码","名称及规格","件数","备注"
"1","1000000823","柴油发动机","1",""
"2","1040003912","螺栓","4","GB/T5783"
"3","1040302492","垫圈","4","GB/T97.1"
"4","00773407140201060","垫圈","16",""
"5","1040302490","垫圈","15","GB/T97.1"
"6","1040002273","螺栓","15","GB/T5786"
"7","00773407140201040","弯板 III","1",""
"8","00773407140201050","弯板 V","4",""
"9","1009900979","发动机减震器","8",""
"10","00773407100201050","垫板","1",""
"11","1040200161","螺母","4","GB/T889"
"12","00773407140201010","联轴器盖","1",""
"13","1040100097","螺钉","8","GB/T70.1"
"14","1040101692","螺栓","3","GB/T5786"
"15","1009900968","弹性联轴器总成","1",""
"16","00773407140201020","弯板 I","1",""
"17","00773407140201030","弯板 II","1",""
"18","1040302489","垫圈","1","GB/T97.1"
"19","1040003357","螺栓","1","GB/T5786"
