"序号","物料编码","名称及规格","件数","备注"
"1","00773400100261030","板Ⅱ","1",""
"2","1040005844","螺栓","4",""
"3","1040300771","垫圈  6-200HV","32","GB/T5783-2000"
"4","00773400100260020","护罩","1","GB/T97.1-2002"
"5","00773400100261060","螺栓","2",""
"6","00773400100261050","轴承","2",""
"7","1040302480","垫圈  8-200HV","4",""
"8","1040200503","螺母  M8-8","6","GB/T96.1-2002"
"9","1040200504","螺母  M10-8","4","GB/T889.1-2000"
"10","1040302512","垫圈  10-200HV","8","GB/T889.1-2000"
"11","1040004508","螺栓  M10×45-8.8","4","GB/T96.1-2002"
"12","00773406300201030","橡胶垫","2","GB/T5783-2000"
"13","00773400130810003","平台焊件焊件","1",""
"14","00773400130600000","液压阀架焊件","1",""
"15","1040005852","螺栓  M12×20-8.8","2",""
"16","00773400130401040","垫块 I","8","GB/T5787-2000"
"17","1054600077","滚针轴承","8",""
"18","02564400100420000","托架焊件","1",""
"19","1040200507","螺母  M12-8","4",""
"20","1040302821","垫圈  12-200HV","6","GB/T889.1-2000"
"21","1040004556","螺栓  M12×35-8.8","4","GB/T96.1-2002"
"22","00773400100401040","垫块","1","GB/T16674.1-2016"
"23","1040301515","垫圈  8-200HV","7",""
"24","1040103112","螺钉  M8×25-8.8","7","GB/T97.1-2002"
"25","00773400130401060","垫块 III","2","GB/T70.1-2000"
"26","1040001703","螺栓  M12×65-10.9","2",""
"27","1040201163","螺母  M12-10","2","GB/T5782-2000"
"28","1040302490","垫圈  12-200HV","4","GB/T889.1-2000"
"29","02564400100401020","轴","4","GB/T97.1-2002"
"30","1080000005","油杯  M6×1","8",""
"31","02564400100401030","卡轴板","4","JB_T7940.1_1995"
"32","1040004646","螺栓  M10×15-8.8","4",""
"33","00773400130410000","过渡座","1","GB/T5783-2000"
