"序号","物料编码","名称及规格","件数","备注"
"1","1040002458","螺栓 M8×40-8.8","8","GB/T5783"
"2","00773601100200000  右机罩焊接","","1",""
"3","00773601100001020  调整垫","","4",""
"4","1040201089","螺母 M8-8","24","GB/T6170"
"5","00773401100700000  合页","","4",""
"6","1040302480","垫圈 8-200HV","52","GB/T96.1"
"7","1040004520","螺栓 M8×30-8.8","12","GB/T5783"
"8","1040301515","垫圈 8-200HV","8","GB/T97.1"
"9","1040301510","垫圈 8","28","GB/T93"
"10","1040004519","螺栓 M8×25-8.8","12","GB/T5783"
"11","1040200503","螺母","12","GB/T889.1"
"12","1040100105","螺钉 M6×25-8.8","14","GB/T70.1"
"13","1040300771","垫圈 GB/T97.1-2002","14","6-200HV"
"14","1040004590","螺栓 M8×14-8.8","4","GB/T5783"
"15","00773601100800000  右锁扣座","","1",""
"16","1040301502","垫圈 10","4","GB/T93"
"17","1040200113","螺母 M10-8","4","GB/T6170"
"18","00773601100001030  右锁座","","1",""
"19","1040302512","垫圈 10-200HV","4","GB/T96.1"
"20","1040004565","螺栓 M10×30-8.8-DKL","4","GB/T5783"
"21","1109900765","液压门锁","1","50075-C37K"
"22","1110100359","气弹簧弹伸长度
435mm,S=162mm,F=9
00N,M8×20","5","000816"
"23","1100700163","门把手","2","26983-09"
"24","00773601100400000  左机罩焊接","","1",""
"25","1109900766","电池门锁","1",""
"26","00773601100600000  左锁扣座","","1",""
"27","00773601100001010  左锁座","","1",""
"28","1020605390","气弹簧","1",""
