"序号","物料编码","名称及规格","件数","备注"
"34","1040201111","螺母  M24-10","1",""
"35","1040301511","垫圈  24-200HV","1","GB/T889-1986"
"36","00773400100401030","调整垫","2","GB/T97.1-2002"
"37","1040006524","螺栓  M10×25-10.9","8",""
"38","1040004505","螺栓  M24×280-10.9","1",""
"38","02564400100401010","连杆","2","GB/T5782-2000"
"39","1040201381","螺母  M12-8","1",""
"40","1040006458","加 强 半 圆 头 方 径 螺 栓 
M12×50-8.8","1","GB/T6170-2000"
"41","1040102372","内 六 角 圆 柱 头 螺 钉 
M6×20-A2-70","6",""
"42","1999904986","文件盒","1","GB/T70.1-2000"
"43","00771600100201021","挡板 I","1",""
"44","1040102017","螺钉  M6×45-A2-70","6",""
"45","1040201896","螺母  M6-8","16",""
"46","1040006017","螺钉  M6×25-A2-70","4","GB/T889.1-2015"
"47","00773400100261110","挡块","2",""
"48","00773400100261080","挡板","2",""
"49","1022397103","开口波纹管","",""
