"序号","物料编码","名称及规格","件数","备注"
"1","00773400800001200","开关支座","1",""
"2","1040001631","螺栓  M6×20-A2-70","2","GB/T5783-2000"
"3","00773400800001042","电池托盘","1",""
"4","00773400800001171","电池隔板","1",""
"5","1040201896","螺母  M6-8","6","GB/T889.1-2015"
"6","1040300771","垫圈  6-200HV","6","GB/T97.1-2002"
"7","00773400800001280","电池压板","2",""
"8","00773400800001131","电池拉杆","4",""
"9","1040004517","螺栓  M8×16-8.8","14","GB/T5783-2000"
"10","1040002435","螺栓  M10×35-8.8","1","GB/T5783-2000"
"11","1040004520","螺栓  M8×30-8.8","2","GB/T5783-2000"
"12","1040200503","螺母  M8-8","4","GB/T889.1-2000"
"13","1040302821","垫圈  12-200HV","12","GB/T96.1-2002"
"14","1040002436","螺栓  M12×25-8.8","12","GB/T5783-2000"
"15","00773600800600001","液压油箱支架","1",""
"16","1040004590","螺栓  M8×14-8.8","8","GB/T5783-2000"
"17","00773600801600000","扎线支架","1",""
"18","00773600800800000","燃油箱支架","1",""
"19","00773600802201010","电控柜支架","1",""
"20","00773600801200000","门碰支架 I","1",""
"21","1040002433","螺栓  M10×20-8.8","12","GB/T5783-2000"
"22","1040201089","螺母  M8-8","4","GB/T6170-2000"
"23","00773700800001030","销轴Ⅰ","2",""
"24","00773400400001250","止动销","4",""
"25","1040004570","螺栓  M16×30-8.8","4","GB/T5783-2000"
"26","00773600801800000","限位支座 I","1",""
"27","00773600800001040","轴 II","2",""
"28","00773700830001301","主阀安装板","1",""
"29","00773600800001050","行走控制阀安装板","1",""
"30","1040004519","螺栓    M8×25-8.8","10","GB/T5783-2000"
"31","00773600802000000","限位支座 II","2",""
"32","1040004678","门碰螺栓","4",""
"33","1040200113","螺母  M10-8","9","GB/T6170-2000"
