"序号","物料编码","名称及规格","件数","备注"
"1","1040101628","螺塞","1",""
"2","1019807719","集成回油块","1",""
"3","1040200503","螺母 M8-8","2","GB/T889.1"
"4","1140101463","端直通接头","4",""
"5","1140101820","端直通接头","1",""
"6","1040102037","螺栓 M8×70-8.8","2","GB/T70.1"
