"序号","物料编码","名称及规格","件数","备注"
"1","1140101478","直角组合接头","1",""
"2","1140101464","端直通接头","2",""
"3","1010601138","高压过滤器","1",""
"4","1140000098","螺栓 M10×20-8.8","2","GB/T5783"
"5","1040302489","垫圈 10-200HV","2","GB/T97.1"
"6","1010302829","单向阀","、","GB/T93"
"3","1010302829","垫圈 8-200HV","4","GB/T97.1"
"4","1140101464","端直通接头","2",""
