"序号","物料编码","名称及规格","件数","备注"
"66","00773400300001200","止动销","1",""
"67","1040004591","螺栓  M4×8-8.8","7","GB/T5783-2000"
"68","00773400800001221","调整垫","2",""
"69","00773600800001010","托盘垫块","1",""
"70","1040101492","螺钉  M10×25-8.8","2","GB/T70.1-2000"
"71","1040002434","螺栓  M10×25-8.8","1","GB/T5783-2000"
"72","00773600800001030","托盘轴","1",""
"73","00773400830200000","电机安装","1",""
"74","1990300400","U 型胶条","1",""
"75","00773400830201010","盖","1",""
"76","1040201743","螺母  M6","2","QC/T608-2011"
"77","1040004549","螺栓  M4×16-8.8","4","GB/T5783-2000"
"78","00773400830201020","挡板","1",""
