"序号","物料编码","名称及规格","件数","备注"
"1","00773701020001010  配重块","","1",""
"2","1109900921","胶塞 M36","2",""
"3","1040302483","垫圈 24-200HV","4","GB/T96.1"
"4","1040004613","螺栓 M24×60-10.9","4","GB/T5782"
"5","00773701000001021  垫板","","2",""
"6","1040102757","螺钉 M10×25-8.8","4","GB/T70.3"
"7","00773601000001021  垫片","","4",""
