"序号","物料编码","名称及规格","件数","备注"
"1","00773407140801050","进气管","1",""
"2","1990202290","螺旋涡轮涡杆卡箍","2",""
"3","1000100391","空气滤清器总成","1",""
"4","1040200503","螺母","4","GB/T889.1"
"5","1040301515","垫圈","4","GB/T97.1"
"6","1040004520","螺栓","2","GB/T5783"
"7","00771107121001060","双边管夹","1",""
"8","00773407140801030","进气钢管","1",""
"9","00773607100801020","进气胶管Ⅰ","1",""
"10","00773407140801040","弯板 I","1",""
"11","1040004517","螺栓","2","GB/T5783"
"12","1040302480","垫圈","2","GB/T96.1"
"13","1040004519","螺栓","2","GB/T5783"
"14","00773407140801020","进气胶管 II","1",""
"15","1990202288","螺旋涡轮涡杆卡箍","3",""
