"序号","物料编码","名称及规格","件数","备注"
"1","00773400100260020","护罩","1",""
"2","00773400100261030","板Ⅱ","1",""
"3","1040005844","螺栓","4","GB/T5783-2000"
"4","1040300771","垫圈  6-200HV","36","GB/T97.1-2002"
"5","00773400100261060","螺栓","2",""
"6","00773400100261050","轴承","2",""
"7","1040302480","垫圈  8-200HV","4","GB/T96.1-2002"
"8","1040200503","螺母  M8-8","7","GB/T889.1-2000"
"9","1040200504","螺母  M10-8","4","GB/T889.1-2000"
"10","1040302512","垫圈  10-200HV","8","GB/T96.1-2002"
"11","1040004508","螺栓  M10×45-8.8","4","GB/T5783-2000"
"12","00773406300201030","橡胶垫","2",""
"13","00773600130210000","平台焊件","1",""
"14","1040201896","螺母  M6-8","18","GB/T889.1-2015"
"15","1040006017","螺钉  M6×25-A2-70","4",""
"16","00773400100261110","挡块","2",""
"17","1040102372","内六角圆柱头螺钉   
M6×20-A2-70","6","GB/T70.1-2000"
"18","1999904986","文件盒","1",""
"19","00773600130201010","防撞块","1",""
"20","1040103173","螺钉  M6×50-8.8","2",""
"21","1040300514","垫圈  5-200HV","12","GB/T97.1-2002"
"22","00773400100230000","旋转门","1",""
"23","1029904911","弹垫","12","GB93-304"
"24","1101000163","弹簧合页","2",""
"25","1040004672","螺栓  M5×10-8.8","12","GB/T5783-2000"
"26","1080000005","油杯  M6×1","8","JB_T7940.1_1995"
"27","1040004646","螺栓  M10×15-8.8","4","GB/T5783-2000"
"28","00773400130401090","卡轴板","4",""
"29","02564400100401020","轴","4",""
"30","1054600077","滚针轴承","8",""
"31","02564400100401010","连杆","1",""
