"序号","物料编码","名称及规格","件数","备注"
"1","00771007100601060","板Ⅰ","2",""
"2","1040004520","螺栓","10","GB/T5783"
"3","1040301515","垫圈","30","GB/T97.1"
"4","00771007100601050","板Ⅱ","2",""
"5","1040004518","螺栓","4","GB/T5783"
"6","00771007100601010","挡风板","1",""
"7","1040200170","螺母","4","GB/T889"
"8","00771007100601020","弯板Ⅰ","1",""
"9","00773407140601040","回水管 I","1",""
"10","00773407100601140","垫板","6",""
"11","1040302821","垫圈","4","GB/T96.1"
"12","00773407100601130","海绵条","2",""
"13","1040002262","螺栓","4","GB/T5783"
"14","00773407140601050","回水管 II","1",""
"15","1990202287","螺旋涡轮涡杆卡箍","8",""
"16","00773407140601070","接头 II","1",""
"17","1990202282","涡轮涡杆卡箍","2",""
"18","00771007100601030","弯板Ⅱ","1",""
"19","00773407140601080","补水管","1",""
"20","1000200483","散热器总成","1",""
"21","00773407140601020","出水管 I","1",""
"22","00773407140601060","接头 I","1",""
"23","00773407140601030","出水管 II","1",""
"24","00773407140601090","蒸汽胶管 I","1",""
"25","1000300735","膨胀水箱","1",""
"26","1990202279","涡轮涡杆卡箍","4",""
"27","00773407140601100","蒸汽胶管 II","1",""
"28","1040004619","螺栓","4","GB/T5783"
"29","1040004517","螺栓","12","GB/T5783"
"30","00773407140601010","水箱安装板","1",""
"31","1040200503","螺母","18","GB/T889.1"
"32","00771007100601040","弯板Ⅲ","1",""
