"序号","物料编码","名称及规格","件数","备注"
"1","00773700401600000","上立柱","1",""
"2","00773700400001090","销轴 IX","2",""
"3","00773400400001250","止动销","7",""
"4","1040002446","螺栓","5","GB/T5783"
"5","1040002437","螺栓  M12×35-8.8","1","GB/T5783"
"6","00773400200001070","止动销","5",""
"7","00773700400001100","销轴 X","1",""
"8","00773700400800000","上压杆","2",""
"9","1040004517","螺栓  M8×16-8.8","8","GB/T5783"
"10","1040301515","垫圈  8-200HV","20","GB/T97.1"
"11","1040004522","螺栓  M8×50-8.8","4","GB/T5783"
"12","00773700400001400","挡板 II","2",""
"13","00773700400001370","管夹 III","2",""
"14","00773700400600000","上拉杆","1",""
"15","00773700400400000","下拉杆","2",""
"16","00773700400001130","轴承","4",""
"17","00773700400001520","螺杆 I M12×240","1",""
"18","00773700400001380","挡管","1",""
"19","1040302490","垫圈  12-200HV","1","GB/T97.1"
"20","1040200507","螺母  M12-8","1","GB/T889.1"
"21","00773700400001050","销轴 V","1",""
"22","00773700400001480","盖板","1",""
"23","00773700400001150","轴承","4",""
"24","00773700400001341","管线盖板 IV","2",""
"25","1040103140","螺钉  M12×25-8.8","8",""
"26","00773700400001500","导向块 II","1",""
"27","00773700400001490","导向块 I","1",""
"28","00773700400001070","销轴 VII","2",""
"29","00773700400001140","轴承","4",""
"30","00773700400001280","防护板 II","2",""
"31","00773700400001471","调整垫 II","2",""
"32","00773700400001461","调整垫 I","2",""
"33","00773700400001451","垫块","2",""
"34","00773700400001361","管夹 II","2",""
