"序号","物料编码","名称及规格","件数","备注"
"1","1040004518","螺栓 M8×20-8.8","15","GB/T5783"
"2","1040301510","垫圈 8","13","GB/T93"
"3","1040301515","垫圈 8-200HV","42","GB/T97.1"
"4","00773602800001020","盖板","1",""
"5","00773602800600000","浮动油缸","2",""
"6","1040302493","垫圈 20-200HV","8","GB/T97.1"
"7","1040003572","螺栓 M20×55-10.9-DKL","8","GB/T5783"
"8","1040004649","螺钉 5/8-11UNC×45-10.9","24","ANSIB18.3"
"9","1040302492","垫圈 16-200HV","24","GB/T97.1"
"10","1030202174","减速机","4",""
"11","1030800696","轮胎 33×12D610-R","2",""
"12","1040202297","螺母 M16×1.5-10(施必牢)","36","GB/T6177.2"
"13","00773402800001280","底盘阀块安装板","1",""
"14","00771102810001110","盖板","4",""
"15","1040004517","螺栓 M8×16-8.8","43","GB/T5783"
"16","00771102800001130","盖板","1",""
"17","00771102810001100","盖板","2",""
"18","00771102810001120","盖板","2",""
"19","1030800695","轮胎 33×12D610-L","2",""
"20","00773602800001010","车架盖板","1",""
"21","00773602800200001","车架焊件","1",""
"22","00773702821000000","底盘配重 I","1",""
"23","1040302483","垫圈 20-200HV","4","GB/T96.1"
"24","1040201884","螺母  M24x3","4","GB/T6170"
"25","00773702821200000","底盘配重 II","1",""
