"序号","物料编码","名称及规格","件数","备注"
"1","1020810958","摇杆开关","1","应急动力及使能"
"2","1020521445","摇杆开关","1","驱动定向"
"3","1020521444","摇杆开关","1","照明"
"4","1020521443","摇杆开关","1","行走速度控制"
"5","1020405061","报警指示灯面板","1",""
"6","00773406200211050","平台电控箱面膜","1",""
"7","1020502039","急停按钮","1",""
"","1020509007","按钮座","1",""
"8","1020521445","摇杆开关","1","平台调平"
"9","1029802085","尼龙堵头","5",""
"","1029804205","卡紧螺母","5",""
"10","1020520994","手柄","1",""
"11","1020520995","电位计","1",""
"12","1020521445","扳钮开关","1","平台旋转开关"
"13","1020521445","扳钮开关","1","飞臂升降开关"
"14","1020521445","扳钮开关","1","臂架伸缩"
"15","1020521445","扳钮开关","1","塔臂升降"
"16","1020520993","手柄","1",""
"17","1020202105","IO 模块","1",""
"18","1022399012","行线槽","1",""
"19","1020404405","闪光蜂鸣器","1",""
"20","1029498090","端子","7",""
"21","1029905392","端子","4",""
"22","1029498090","端子","4",""
"23","1020703394","德驰连接器","1","拖链电缆束"
"24","1020703393","圆形插接件","1","平台电缆束"
