"序号","物料编码","名称及规格","件数","备注"
"1","1040101492","螺钉 M10×25-8.8","2","GB/T70.1"
"2","1040301502","垫圈 10","2","GB/T93"
"3","1010601341","回油过滤器","1",""
"4","1140101628","堵头","1",""
"5","1040005852","螺栓 M12×20-8.8","4","GB/T5787"
"6","1140103362","端直通接头","2",""
"7","1140101466","端直通接头","1",""
"8","1140114040","端直通接头","1",""
"9","1019901354","液位液温计","1",""
"10","00773605200210000  油箱体","","1",""
"11","00773405200230000  密封板","","1",""
"12","00773405200220001  窗口盖","","1",""
"13","1040301510","垫圈 8","8","GB/T93"
"14","1040103111","螺钉 M8×16-8.8","8","GB/T70.1"
"15","1010500489","空气过滤器","1",""
"16","1140113717","端直通接头","1",""
