"序号","物料编码","名称及规格","件数","备注"
"35","1040302529","垫圈  5-200HV","6","GB/T96.1"
"36","1040004672","螺栓  M5×10-8.8","6","GB/T5783"
"37","00773700400001550","调整垫片","2",""
"38","00773700400001270","防护板 I","2",""
"39","00773700401000001","下立柱","1",""
"40","1040004599","螺栓  M8×60-8.8","8","GB/T5782"
"41","00773700400001390","挡板 I","4",""
"42","00773700400001351","管夹 I","2",""
"43","00773700400200001","下压杆","1",""
"44","00773400300001070","轴承","8",""
"45","1040002445","螺栓  M16×35-8.8","2","GB/T5783"
"46","00773700400001020","销轴 II","2",""
"47","1040101492","螺钉","16",""
"48","00773700400001010","销轴 I","4",""
"49","00773700401400000","二号臂变幅油缸","2",""
"50","00773700400001541","罩板","2",""
"51","00773700400001290","卡板","6",""
"52","00773700400001080","销轴 VIII","2",""
"53","1040103164","螺钉  M10×30-8.8","6","GB/T70.3"
"54","00773400400001020","轴承","16",""
"55","00773700400001060","销轴 VI","1",""
"56","00773700401200000","同步拉杆","2",""
"57","00773700400001180","销轴固定板","2",""
"58","00773700400001030","销轴 III","2",""
"59","1040004499","螺栓  M20×45-8.8","2","GB/T5783"
"60","00773400400001170","止动销","2",""
"61","00773700400001040","销轴 IV","2",""
"62","00771400600001070","自润滑轴承","8",""
"63","00773700400001261","垫块 T","2",""
"64","1040002436","螺栓  M12×25-8.8","4",""
