"序号","物料编码","名称及规格","件数","备注"
"1","1040004519","螺栓","12","GB/T5783"
"2","1040301515","垫圈","24","GB/T97.1"
"3","00773407141001240","排气管 I","1",""
"4","1040004619","螺栓","12","GB/T5783"
"5","1040200398","螺母","12","GB/T6177.1"
"6","00773407141020000","消声器支架","1",""
"7","00773407141001220","消声器","2","GB/T97.1"
"8","00773407151001060","密封垫片","2",""
"9","00773607101001040","排气管Ⅱ","1",""
"10","1040200503","螺母","8","GB/T889.1"
"11","00773407101001030","加强板","1",""
"12","00773607101001030","排气尾管","1",""
