"序号","物料编码","名称及规格","件数","备注"
"26","00773602800001030","转向节上端盖","2",""
"27","1040004511","螺栓 M6×16-A2-70","4","GB/T5783"
"28","00773400200001070","止动销","4",""
"29","00773702800001150","销轴Ⅰ","2",""
"30","00773702800001020","销轴","2",""
"31","00773702800001201","转向节下耐磨板","2",""
"32","00773702800001031","转向节上耐磨板","2",""
"33","00773700400001130","轴承","4",""
"34","00773602800800000","转向节 I","1",""
"35","00773402810001142","马达油管支架 I","2",""
"36","00773402810001151","马达油管固定环","2",""
"37","1040200503","螺母 M8-8","4","GB/T889.1"
"38","1040002437","螺栓 M12×35-8.8","4","GB/T5783"
"39","1040002555","螺栓","4","GB/T5783"
"40","00773702800400001","前桥焊件","1",""
"41","00773602801400000","转向油缸","2",""
"42","00771600301001250","止动销","6",""
"43","00773402810001260","轴承","6",""
"44","00773702800001340","销轴Ⅵ","6",""
"45","1040002433","螺栓 M10×20-8.8","6","GB/T5783"
"46","00773702802000000","转向连杆","1",""
"47","00773702800001220","免润滑轴承","2",""
"48","00773702800001330","销轴","1",""
"49","00773400400001250","止动销","1",""
"50","1040002446","螺栓 M16×40-8.8","1",""
"51","00773602801200000","转向节 II","1",""
"52","204050239","美孚合成齿轮油","/","SHC220-P20L(新)"
