"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00774006200210000","Электрический шкаф управления 
платформой","1",""
"2","00773406200210000","Электрический шкаф управления 
платформой","0",""
"3","1020521022","Переключатель защиты от 
сдавливания","1",""
"4","/","Клапан подъема маховой стрелы","/",""
"5","/","Клапан левого качания платформы","/",""
"6","/","Клапан опускания при 
выравнивании","/",""
"7","/","Клапан опускания телескопической 
стрелы","/",""
"8","/","Клапан правого качания платформы","/",""
"9","/","Клапан повышения при 
выравнивании","/",""
"10","1021404016","Педальный переключатель 
платформы","/",""
"11","","Датчик веса","/",""
"12","","Оконечное сопротивление","/",""
"13","","Датчик угла наклона платформы","/",""
"14","/","Кабель буксирной цепи основной 
стрелы","/",""
