"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040002458","Болт M8×40-8.8","12","JB/T5783"
"2","1040301515","Шайба 8-200HV","28","JB/T97.1"
"3","1040004518","Болт M8×20-8,8","18","JB/T5783"
"4","1040301510","Шайба 8","42","JB/T93"
"5","1040302480","Шайба 8-200HV","30","JB/T96.1"
"6","00773601100001020","Регулирующая шайбаTp20","6",""
"7","1040201089","Гайка M8-8","12","JB/T6170"
"8","1040004678","Болт для ограничителя открывания 
двери M10×70","4",""
"9","1040200113","Гайка M10-8","26","JB/T6170"
"10","00774000800800000","Кронштейн дверного упора Ⅰ","1",""
"11","1040302529","Шайба 5-200HV","2","JB/T96.1"
"12","1040001122","Болт M5×16-8,8","2","JB/T5783"
"13","1040004519","Болт M8×25-8,8","12","JB/T5783"
"14","1040100105","Винт с внутренним шестигранником 
M6 × 25-8,8","1","JB/T70.1"
"15","00774001100601010","Круглая сталь Φ10","2",""
"16","1040002435","Болт M10×35-8.8","2","JB/T5783"
"17","1040302512","Шайба 10-200HV","4","JB/T96.1"
"18","00774001100601020","Левая стопорная пластина TP5","1",""
"19","1040300771","Шайба 6-200HV","6","JB/T97.1"
"20","00774001100001020","Правая шарнира замка","1","000815"
"21","1109900765","Гидравлический дверной замок","1","50075-C37K"
"22","1020605390","Удлинение пневматической пружины 
435mm,S=162mm,F=1200N,M8×20","8","000815"
"23","1100700163","Дверная ручка","2","26983-09"
"24","00774101100400000","Сварка правого капота","1",""
"25","00774101100200000","Сварка левого капота","1",""
"26","1040200504","Гайка M10-8","6","JB/T889.1"
"27","00771401111801020","Круглая сталь Φ10","1",""
"28","00771401112401010","Опорная плита замка Tp6","1",""
