"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140102959","Горизонтально-вертикальное 
соединение","4",""
"2","1140107801","Штуцер","2",""
"3","1149900295","Переходное соединение","2",""
"4","1010306670","Клапан ходового управления","1",""
"5","1040301515","Шайба 8-200HV","4","JB/T97.1"
"6","1040004518","Болт M8×20-8,8","4","JB/T5783"
"7","1040301510","Шайба 8","4","JB/T93"
"8","1140114187","Манометрический штуцер","1",""
"9","1140111237","Прямой соединитель","5",""
