"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140105072","Прямой соединитель","2",""
"2","1040302490","Шайба 12-200HV","6","JB/T97.1"
"3","1040000575","Болт M12×35-10,9","6","JB/T5783"
"4","1140103280","Прямой соединитель","1",""
"5","1140101489","Тройной композитный штуцер","2",""
"6","1010002210","Закрытый насос","1",""
"7","1140107814","Штуцер","1",""
"8","1040102730","Винт 1/2×11/2-10.9","4",""
"9","1140101630","Полуфланец","1",""
"10","1010002207","Открытый насос","1",""
"11","1140101564","Полуфланец","1",""
"12","1040102742","Винт 3/8×11/4-10.9","4",""
"13","1140105246","Прямой соединитель","1",""
"14","1140101478","Прямоугольный композитный 
штуцер M22×1,5","1",""
"15","1140114914","Прямой соединитель","2",""
"16","1140101632","Прямоугольный композитный 
штуцер M22×1,5","4",""
"17","1140114915","Прямой удлиненный соединитель","2",""
"18","1010002209","Закрытый насос","1",""
"19","1149901795","Прямой соединитель","2",""
