"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1031500371","Поворотная опораm=8，z=130","1",""
"2","1040005853","Болт M20×140-10.9","60","JB/T1228"
"3","1040302502","Шайба 20","65","JB/T1230"
"4","1040004501","Болт M20×60-10.9","5","JB/T5783"
"5","1030202324","Поворотный редуктор","1",""
"6","1040301503","m=8，z=17，×=+0.5","2","JB/T93"
"7","1040004029","Болт M12×35-10.9","2","JB/T5783"
"8","1010101004","Поворотный мотор","1",""
"9","00771400900001010","Фиксирующий штифт","1",""
