"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040302489","Шайба 10-200HV","2","JB/T97.1"
"2","1040004646","Болт M10×15-8.8","2","JB/T5783"
"3","1140101901","Прямой соединитель","1",""
"4","1010002361","Аварийный насос","1",""
"5","1140103135","Прямоугольный композитный 
штуцер M22×1,5","1",""
"6","1140103405","Прямой соединитель","2","JB/T15783"
