"№ п/п","Код материалов","Наименование и спецификация","","Кол-во Примечание"
"25","00774100700401171  Трубный хомутIV","","3",""
"26","00774100700401231  Прижимная планка трубопроводаIII","","",""
"","","","4",""
"27","1040004675","Болт M8×85-8.8","2",""
"28","00774100700410001","Сварной элемент прямоугольной трубы сварная 
деталь","1",""
