"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040200503","Гайка M8-8","8","JB/T889.1"
"2","00774007100401010","Гнутая пластина I","1",""
"3","1040301515","Шайба 8-200HV","7","JB/T97.1"
"4","1040004619","Болт M8×35-8,8","2","JB/T5783"
"5","1140114594","Быстросъемная муфта","2",""
"6","00773407100401060","Болт пустотелый М16 × 1,5 × 35","2",""
"7","00774107100401030","Труба топлива II","1",""
"8","00773407100401050","Штуцер II","2",""
"9","1081000673","Сложная уплотнительная шайба","4",""
"10","00773607100401010","Бак топлива в сборе","1",""
"11","1040302512","Шайба 10-200HV","4","JB/T96.1"
"12","1040002434","Болт M10×25-8.8","4","JB/T5783"
"13","1040302480","Шайба 8-200HV","4","JB/T96.1"
"14","1029902994","Бандажная лента","5","CHS-4*200(че
рный)"
"15","1990200692","Резиновая 
лента 
с 
пластическим 
покрытием","3",""
"16","1040300771","Шайба 6-200HV","3","JB/T97.1"
"17","1040005844","Болт M6×10-A2-70","3","JB/T5783"
"18","00774107100401042","Труба топлива III","1",""
"19","1140114596","Быстросъемная муфта","1",""
"20","1140114593","Быстросъемная муфта","1",""
"21","1990202279","Хомут спирального червяка","8",""
"22","00774107100401081","Труба топлива V","1",""
"23","00774107100401062","Труба топлива IV","1",""
"24","1040004518","Болт M8×20-8,8","3","JB/T5783"
"25","1040002458","Болт M8×40-8,8","2","JB/T5783"
