"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"67","1040002464","Болт M16×50-8,8","4","JB/T5782"
"68","00773400400001250","Стопорный штифт","4",""
"69","00771602800001460","Втулка плавающего цилиндра","2",""
"70","00771602800001410","Износостойкая прокладка вала качания","2",""
"71","1040004499","Болт M20×45-8,8","1","JB/T5783"
"72","00773400400001170","Стопорный штифт","1",""
"73","00771602801400000","Плавающий цилиндр","2",""
"74","00771602800001350","Подшипник, не требующий смазывания III","2",""
"75","00771602800001140","Штырь качания","1",""
"76","00771602800001241","Регулировочная прокладка на опоре II","12",""
"77","00771602804000000","Узел сухаря качающейся рамы","2",""
"78","00771602800001260","Кожух шасси II","1",""
"79","00774102800001010","Кожух шасси I","1",""
"80","00774102800001020","Штифт плавающего цилиндра","2",""
"81","1040004517","Болт M8×16-8,8","90","JB/T5783"
"82","00771602800001290","Кожух шасси V","1",""
"83","00771602800001431","Регулирующая 
прокладка 
сухаря 
качающейся рамы II","4",""
"84","00771602800001400","Крышка рамы III","1",""
"85","00774102800200000","Сварная деталь рамы","1",""
"86","1030800681","Шина","2",""
"87","00774102800400000","Вертикальное подъемное устройство","1",""
"88","00771602800001380","Крышка рамы II","4",""
"89","1040004508","Болт M10×45-8,8","6","JB/T5783"
"90","00771602800001370","Крышка рамы I","4",""
"91","204050239","Синтетическое трансмиссионное масло 
Mobil SHC220-P20L (новое)","",""
"92","00771602800001440","Опорная рама клапана IV","1",""
"93","1040002178","Болт M10×30-A2-70","4","JB/T70.1"
"94","00771602800201530","Прокладка износостойкой плиты","2",""
