"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140101534","Прямоугольный композитный 
штуцер M22×2","2",""
"2","1010305956","Обратный клапан с прямым 
соединителем","1",""
"3","1040302489","Шайба 10-200HV","4","JB/T97.1"
"4","1040002433","Болт M10×20-8.8","4","JB/T5783"
"5","1040004518","Болт M8×20-8,8","4","JB/T5783"
"6","1040301515","Шайба 8-200HV","4","JB/T97.1"
"7","1140101523","Торцевой проходной соединитель 
G3/4/M30×2","1",""
"8","1140101478","Прямоугольный композитный 
штуцер M22×1,5","2",""
"9","1140114045","Гидравлический штуцер 
M22×1.5-G3/4","2",""
"10","1010601137","Фильтр высокого давления","1",""
"11","1010601369","Подпиточный фильтр","1",""
