"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1000000735","Дизельный двигатель","1",""
"2","1040201896","Гайка M6-8","4","JB/T889"
"3","1040002178","Болт M6×30-A2-70","4","JB/T5783"
"4","00774007100201060","Монтажная планка ЭБУ","1",""
"5","1040301515","Шайба 8-200HV","4","JB/T97.1"
"6","1040004518","Болт M8×20-8,8","4","JB/T5783"
"7","00771407120201030","Изогнута пластинка III","1",""
"8","00771407120201020","Гнутая пластина II","1",""
"9","1030400480","Пружинная муфта в сборе","1",""
"10","1040004033","Болт M10×25-10.9","8","JB/T5783"
"11","00771407120201050","Крышка муфты","1",""
"12","1040302489","Шайба 10-200HV","12","JB/T97.1"
"13","1040002435","Болт M10×35-8.8","12","JB/T5783"
"14","00774000800400000","Кронштейн двигателя","1",""
"15","1040200161","Гайка M16 -8","4","JB/T889"
"16","00773407100201050","Подкладка","4",""
"17","1009900942","Амортизатор двигателя","8",""
"18","00774007100201010","Гнутая пластина I","1",""
"19","00774007100201040","Гнутая пластина IV","1",""
"20","1040004653","Болт M12×30-10,9","16","JB/T5783"
"21","1040302490","Шайба 12-200HV","16","JB/T97.1"
"22","1040302492","Шайба 16-200HV","4","JB/T97.1"
"23","1040003912","Болт M16×120-10,9-DKL","4","JB/T5783"
