"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"52","00774000801200000","Опора бака топлива","1",""
"53","00774100800600000","Монтажный 
кронштейн 
основного 
клапана","1",""
"54","00774100800001010","Капот I","1",""
"55","00774100801000000","Монтажный 
кронштейн 
подставки 
замка","1",""
"56","1040004519","Болт M8×25-8,8","3","JB/T5783"
"57","1040301515","Шайба 8-200HV","3","JB/T97.1"
"58","00774000801600000","Опора бандажа","1",""
"59","00774100800900000","Монтажная опора аварийного насоса","1",""
"60","1040004520","Болт M8×30-8,8","4","JB/T5783"
"61","00774100800001120","Скоба пучка проводов","1",""
"62","1040200503","Гайка M8-8","4","JB/T889.1"
"63","00774100800001140","Резиновая 
прокладка 
ящика 
электрического управления","2",""
"64","00774100800001080","Опора 
шкафа 
электрического 
управления","1",""
"65","1040005840","Болт M16×110-10,9-DKL","1","JB/T1228"
"66","1040201382","Гайка M16 -8","1","JB/T6170"
"67","00771400800001170","Кожух шестерни","1",""
"68","00774100800001040","Капот II","1",""
"69","00774100800001070","Вкладыш","1",""
