"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"29","00771401110001071","Регулирующая шайбаTp2","4",""
"30","1040004509","Болт M10×50-8.8","2","JB/T5783"
"31","1109900766","Дверной замок аккумулятора","1","50076-C38K"
"32","00774001100001010","Левая подставка замкаTp6","1",""
"33","00774000801000000","Кронштейн останова двери II","1",""
