"No.","Material No.","Item and Spec","Rev.","Qty","Remark"
"1","02151600200600000","mechanical plug","A","1","PT12=10_机械插销"
"2","02151600200001020","limit pin φ60*","B","2",""
"3","00773400400001250","stop pin φ16×105*","E","2",""
"4","1040002445","bolt M16×35-8.8","A","2","GB/T5783-2000"
"5","1040302492","washer 16-200HV","B","1","GB/T97.1-2002"
"6","1040004570","bolt M16×30-8.8","A","1","GB/T5783-2000"
"7","02151600200400000","leveling cylinder axle welds","A","1",""
"8","1040005888","bolt M12×120-10.9","A","2","GB/T5782-2000"
"9","1040302490","washer 12-200HV","B","4","GB/T97.1-2002"
"10","1040200507","nut M12-8","A","2","GB/T889.1-2000"
"11","02151600200001010","boom head pin Φ70*","A","1",""
"12","02151600200200002","connecting device welding structure","D","1",""
"13","1040502154","β cotter pin 4.5×80","A","1","DIN
11024PT12=10_机
械插 销"
"14","02151600200800001","hydraulic cylinder pin assembly","A","1","PT12=21_液压油缸
插销"
